X	sample	mouse	group	cre	division	type	include	cells	spikeinDilution	spikeinVolume	bamFile	unmapped.reads	mapped.reads	unique.reads	paired.reads	timeTaken
1	m2010_D0	2010	WT_div0	neg	div0	WT	TRUE	1000	20000	3	m2010_D0.sort.dupMark.bam	4337155	70231165	51154756	51154756	3.896861798
2	m2010_D1	2010	WT_div1	neg	div1	WT	TRUE	1000	20000	3	m2010_D1.sort.dupMark.bam	4271558	65136264	45085789	45085789	3.558774639
3	m2010_D3	2010	WT_div3	neg	div3	WT	TRUE	1000	20000	3	m2010_D3.sort.dupMark.bam	4782458	78199526	55241801	55241801	4.161495548
4	m2010_D5	2010	WT_div5	neg	div5	WT	TRUE	1000	20000	3	m2010_D5.sort.dupMark.bam	3694517	64486469	48211478	48211478	3.407935334
5	m2010_D8neg	2010	WT_div8neg	neg	div8neg	WT	TRUE	1000	20000	3	m2010_D8neg.sort.dupMark.bam	2969991	51779525	41320515	41320515	2.756483075
6	m2010_D8pos	2010	WT_div8pos	neg	div8pos	WT	TRUE	1000	20000	3	m2010_D8pos.sort.dupMark.bam	3825453	54977271	39618720	39618720	2.97879765
7	m2011_D0	2011	KO_div0	pos	div0	KO	TRUE	1000	20000	3	m2011_D0.sort.dupMark.bam	3350934	62510614	47656843	47656843	3.353982617
8	m2011_D1	2011	KO_div1	pos	div1	KO	TRUE	1000	20000	3	m2011_D1.sort.dupMark.bam	4510283	76222493	55297490	55297490	4.625969209
9	m2011_D3	2011	KO_div3	pos	div3	KO	TRUE	1000	20000	3	m2011_D3.sort.dupMark.bam	5333685	76361677	53818449	53818449	4.715276439
10	m2011_D5	2011	KO_div5	pos	div5	KO	TRUE	1000	20000	3	m2011_D5.sort.dupMark.bam	4283393	66784687	47327390	47327390	3.732138028
11	m2011_D8neg	2011	KO_div8neg	pos	div8neg	KO	TRUE	1000	20000	3	m2011_D8neg.sort.dupMark.bam	4615361	70744803	49598232	49598232	3.822485805
12	m2012_D0	2012	KO_div0	pos	div0	KO	TRUE	1000	20000	3	m2012_D0.sort.dupMark.bam	5098217	81138089	55436571	55436571	4.686992511
13	m2012_D1	2012	KO_div1	pos	div1	KO	TRUE	1000	20000	3	m2012_D1.sort.dupMark.bam	3210103	52732667	40393301	40393301	3.012827079
14	m2012_D3	2012	KO_div3	pos	div3	KO	TRUE	1000	20000	3	m2012_D3.sort.dupMark.bam	3484427	55328195	41688022	41688022	3.346588404
15	m2012_D5	2012	KO_div5	pos	div5	KO	TRUE	1000	20000	3	m2012_D5.sort.dupMark.bam	3193557	55820019	43101468	43101468	3.156666131
16	m2012_D8neg	2012	KO_div8neg	pos	div8neg	KO	TRUE	1000	20000	3	m2012_D8neg.sort.dupMark.bam	3842902	60564958	44251971	44251971	3.264331462
17	m2014_D0	2014	KO_div0	pos	div0	KO	TRUE	1000	20000	3	m2014_D0.sort.dupMark.bam	2774627	49001807	35664675	35664675	2.539788493
18	m2014_D1	2014	KO_div1	pos	div1	KO	TRUE	1000	20000	3	m2014_D1.sort.dupMark.bam	3091732	55824216	43133369	43133369	3.105574754
19	m2014_D3	2014	KO_div3	pos	div3	KO	TRUE	1000	20000	3	m2014_D3.sort.dupMark.bam	2991567	56950757	42974398	42974398	3.073364434
20	m2014_D5	2014	KO_div5	pos	div5	KO	TRUE	1000	20000	3	m2014_D5.sort.dupMark.bam	2971609	48731301	35185096	35185096	2.597689982
21	m2014_D8neg	2014	KO_div8neg	pos	div8neg	KO	TRUE	1000	20000	3	m2014_D8neg.sort.dupMark.bam	4242938	67662136	47441651	47441651	3.634886716
22	m2015_D0	2015	WT_div0	neg	div0	WT	TRUE	1000	20000	3	m2015_D0.sort.dupMark.bam	3369724	50135542	35521044	35521044	3.067578719
23	m2015_D1	2015	WT_div1	neg	div1	WT	TRUE	1000	20000	3	m2015_D1.sort.dupMark.bam	4014667	60707673	44416986	44416986	3.924907101
24	m2015_D3	2015	WT_div3	neg	div3	WT	TRUE	1000	20000	3	m2015_D3.sort.dupMark.bam	4181755	73996573	52080375	52080375	3.995647173
